,tweet,label,tweet_clean,tokens,stopwords,tweet_tokens_stopwords_stemmed,detokenize
10,"Harga minyak dunia lagi turun-turunnya nih. Bismillah… semoga bisa menular ke harga BBM yah 🙏🏼

| Mata Najwa https://t.co/LbQ6H9VUTF",0,harga minyak dunia lagi turun turunnya nih bismillah semoga bisa menular ke harga bbm yah mata najwa ,"['harga', 'minyak', 'dunia', 'lagi', 'turun', 'turunnya', 'nih', 'bismillah', 'semoga', 'bisa', 'menular', 'ke', 'harga', 'bbm', 'yah', 'mata', 'najwa']","['harga', 'minyak', 'dunia', 'turun', 'turunnya', 'nih', 'bismillah', 'semoga', 'menular', 'harga', 'bbm', 'yah', 'mata', 'najwa']","['harga', 'minyak', 'dunia', 'turun', 'turun', 'nih', 'bismillah', 'moga', 'tular', 'harga', 'bbm', 'yah', 'mata', 'najwa']",harga minyak dunia turun turun nih bismillah moga tular harga bbm yah mata najwa
11,"Nama: Teuku Erriyan
Kelompok: Hirav (11)

what do you think when you see this meme? munculnya berita hacker bjorka dan juga keputusan presiden tentang naiknya harga bbm dikala situasi yang gundah gulana.

""Kritik Boleh, Tapi Harus Kritis!"" #GALATEA2022 #LKMMPraTD #HimakomUPNVJT https://t.co/9DXV7xRIUr",1,nama teuku erriyan kelompok hirav  what do you think when you see this meme munculnya berita hacker bjorka dan juga keputusan presiden tentang naiknya harga bbm dikala situasi yang gundah gulana kritik boleh tapi harus kritis ,"['nama', 'teuku', 'erriyan', 'kelompok', 'hirav', 'what', 'do', 'you', 'think', 'when', 'you', 'see', 'this', 'meme', 'munculnya', 'berita', 'hacker', 'bjorka', 'dan', 'juga', 'keputusan', 'presiden', 'tentang', 'naiknya', 'harga', 'bbm', 'dikala', 'situasi', 'yang', 'gundah', 'gulana', 'kritik', 'boleh', 'tapi', 'harus', 'kritis']","['nama', 'teuku', 'erriyan', 'kelompok', 'hirav', 'what', 'do', 'you', 'think', 'when', 'you', 'see', 'this', 'meme', 'munculnya', 'berita', 'hacker', 'bjorka', 'keputusan', 'presiden', 'naiknya', 'harga', 'bbm', 'dikala', 'situasi', 'gundah', 'gulana', 'kritik', 'kritis']","['nama', 'teuku', 'erriyan', 'kelompok', 'hirav', 'what', 'do', 'you', 'think', 'when', 'you', 'see', 'this', 'meme', 'muncul', 'berita', 'hacker', 'bjorka', 'putus', 'presiden', 'naik', 'harga', 'bbm', 'kala', 'situasi', 'gundah', 'gulana', 'kritik', 'kritis']",nama teuku erriyan kelompok hirav what do you think when you see this meme muncul berita hacker bjorka putus presiden naik harga bbm kala situasi gundah gulana kritik kritis
12,"Belum Surut, Buruh dan Petani Demo Tolak Kenaikan Harga BBM di DPR
https://t.co/pcJa10nZ4k",0,belum surut buruh dan petani demo tolak kenaikan harga bbm di dpr ,"['belum', 'surut', 'buruh', 'dan', 'petani', 'demo', 'tolak', 'kenaikan', 'harga', 'bbm', 'di', 'dpr']","['surut', 'buruh', 'petani', 'demo', 'tolak', 'kenaikan', 'harga', 'bbm', 'dpr']","['surut', 'buruh', 'tani', 'demo', 'tolak', 'naik', 'harga', 'bbm', 'dpr']",surut buruh tani demo tolak naik harga bbm dpr
13,"@detikcom Harga BBM naik,, tapi para Oknum di Pertamina malah menurunkan Kualitas Produk terutama jenis PERTALITE, sekarang jadi Boros loohh.
Kemana nich BUMN..???
Ambilah Cuan yg wajar... Apa gk malu melihat Masyarakat kelas menengah ke bawah pada menjerit.. Dimana Hatimu",-1, harga bbm naik tapi para oknum di pertamina malah menurunkan kualitas produk terutama jenis pertalite sekarang jadi boros loohh kemana nich bumn ambilah cuan yg wajar apa gk malu melihat masyarakat kelas menengah ke bawah pada menjerit dimana hatimu,"['harga', 'bbm', 'naik', 'tapi', 'para', 'oknum', 'di', 'pertamina', 'malah', 'menurunkan', 'kualitas', 'produk', 'terutama', 'jenis', 'pertalite', 'sekarang', 'jadi', 'boros', 'loohh', 'kemana', 'nich', 'bumn', 'ambilah', 'cuan', 'yg', 'wajar', 'apa', 'gk', 'malu', 'melihat', 'masyarakat', 'kelas', 'menengah', 'ke', 'bawah', 'pada', 'menjerit', 'dimana', 'hatimu']","['harga', 'bbm', 'oknum', 'pertamina', 'menurunkan', 'kualitas', 'produk', 'jenis', 'pertalite', 'boros', 'loohh', 'kemana', 'nich', 'bumn', 'ambilah', 'cuan', 'yg', 'wajar', 'gk', 'malu', 'masyarakat', 'kelas', 'menengah', 'menjerit', 'dimana', 'hatimu']","['harga', 'bbm', 'oknum', 'pertamina', 'turun', 'kualitas', 'produk', 'jenis', 'pertalite', 'boros', 'loohh', 'mana', 'nich', 'bumn', 'ambi', 'cuan', 'yg', 'wajar', 'gk', 'malu', 'masyarakat', 'kelas', 'tengah', 'jerit', 'mana', 'hati']",harga bbm oknum pertamina turun kualitas produk jenis pertalite boros loohh mana nich bumn ambi cuan yg wajar gk malu masyarakat kelas tengah jerit mana hati
14,"Demonstrasi tolak naiknya harga BBM/energi Berlanjut, Buruh dan Mahasiswa Sambangi Gedung DPR https://t.co/jN6Tm8SwlG  @RamliRizal https://t.co/Quyyj10WhJ",0,demonstrasi tolak naiknya harga bbm energi berlanjut buruh dan mahasiswa sambangi gedung dpr ,"['demonstrasi', 'tolak', 'naiknya', 'harga', 'bbm', 'energi', 'berlanjut', 'buruh', 'dan', 'mahasiswa', 'sambangi', 'gedung', 'dpr']","['demonstrasi', 'tolak', 'naiknya', 'harga', 'bbm', 'energi', 'berlanjut', 'buruh', 'mahasiswa', 'sambangi', 'gedung', 'dpr']","['demonstrasi', 'tolak', 'naik', 'harga', 'bbm', 'energi', 'lanjut', 'buruh', 'mahasiswa', 'sambang', 'gedung', 'dpr']",demonstrasi tolak naik harga bbm energi lanjut buruh mahasiswa sambang gedung dpr
15,"Kalo untuk penjual ""APEM"" sich gak masalah harga BBM naik juga, dikiranya apem dia gak bakalan kisut apa? https://t.co/1uNwHqTync",-1,kalo untuk penjual apem sich gak masalah harga bbm naik juga dikiranya apem dia gak bakalan kisut apa ,"['kalo', 'untuk', 'penjual', 'apem', 'sich', 'gak', 'masalah', 'harga', 'bbm', 'naik', 'juga', 'dikiranya', 'apem', 'dia', 'gak', 'bakalan', 'kisut', 'apa']","['kalo', 'penjual', 'apem', 'sich', 'gak', 'harga', 'bbm', 'dikiranya', 'apem', 'gak', 'kisut']","['kalo', 'jual', 'apem', 'sich', 'gak', 'harga', 'bbm', 'kira', 'apem', 'gak', 'kisut']",kalo jual apem sich gak harga bbm kira apem gak kisut
16,Dan saat ini harga BBM termahal di Indonesia sejak Indonesia Merdeka.,-1,dan saat ini harga bbm termahal di indonesia sejak indonesia merdeka ,"['dan', 'saat', 'ini', 'harga', 'bbm', 'termahal', 'di', 'indonesia', 'sejak', 'indonesia', 'merdeka']","['harga', 'bbm', 'termahal', 'indonesia', 'indonesia', 'merdeka']","['harga', 'bbm', 'mahal', 'indonesia', 'indonesia', 'merdeka']",harga bbm mahal indonesia indonesia merdeka
17,"Dukung Pemerintah Naikkan Harga BBM, Nikita Mirzani: Bila Perlu Satu Liter Rp 1 Juta
https://t.co/aeNeVlKmhu",0,dukung pemerintah naikkan harga bbm nikita mirzani bila perlu satu liter rp  juta ,"['dukung', 'pemerintah', 'naikkan', 'harga', 'bbm', 'nikita', 'mirzani', 'bila', 'perlu', 'satu', 'liter', 'rp', 'juta']","['dukung', 'pemerintah', 'naikkan', 'harga', 'bbm', 'nikita', 'mirzani', 'liter', 'rp', 'juta']","['dukung', 'perintah', 'naik', 'harga', 'bbm', 'nikita', 'mirzani', 'liter', 'rp', 'juta']",dukung perintah naik harga bbm nikita mirzani liter rp juta
18,"H17 (Pekan ke-4) Selasa 27 Sep 2022:
Aksi Nasional III - Tolak Kenaikan Harga #BBM ✊ BEM SI ... #Nalar! https://t.co/MOtPaPMGAb",-1,h pekan ke  selasa  sep  aksi nasional iii tolak kenaikan harga bem si ,"['h', 'pekan', 'ke', 'selasa', 'sep', 'aksi', 'nasional', 'iii', 'tolak', 'kenaikan', 'harga', 'bem', 'si']","['h', 'pekan', 'selasa', 'sep', 'aksi', 'nasional', 'iii', 'tolak', 'kenaikan', 'harga', 'bem', 'si']","['h', 'pekan', 'selasa', 'sep', 'aksi', 'nasional', 'iii', 'tolak', 'naik', 'harga', 'bem', 'si']",h pekan selasa sep aksi nasional iii tolak naik harga bem si
19,"Harusnya Tidak Ada Alasan Harga BBM Naik, Anthony Budiawan: APBN Surplus Rp106 Triliun Per Akhir Juli 2022
https://t.co/ergvPs4MA6",0,harusnya tidak ada alasan harga bbm naik anthony budiawan apbn surplus rp triliun per akhir juli  ,"['harusnya', 'tidak', 'ada', 'alasan', 'harga', 'bbm', 'naik', 'anthony', 'budiawan', 'apbn', 'surplus', 'rp', 'triliun', 'per', 'akhir', 'juli']","['alasan', 'harga', 'bbm', 'anthony', 'budiawan', 'apbn', 'surplus', 'rp', 'triliun', 'juli']","['alas', 'harga', 'bbm', 'anthony', 'budiawan', 'apbn', 'surplus', 'rp', 'triliun', 'juli']",alas harga bbm anthony budiawan apbn surplus rp triliun juli
20,"Sepertinya sebentar lagi muncul pahlawan yg itu mengumumkan penurunan harga BBM.
Terus para pemujanya kompak tepuk tangan seakan hasil kerjanya.",0,sepertinya sebentar lagi muncul pahlawan yg itu mengumumkan penurunan harga bbm terus para pemujanya kompak tepuk tangan seakan hasil kerjanya ,"['sepertinya', 'sebentar', 'lagi', 'muncul', 'pahlawan', 'yg', 'itu', 'mengumumkan', 'penurunan', 'harga', 'bbm', 'terus', 'para', 'pemujanya', 'kompak', 'tepuk', 'tangan', 'seakan', 'hasil', 'kerjanya']","['sebentar', 'muncul', 'pahlawan', 'yg', 'mengumumkan', 'penurunan', 'harga', 'bbm', 'pemujanya', 'kompak', 'tepuk', 'tangan', 'seakan', 'hasil', 'kerjanya']","['sebentar', 'muncul', 'pahlawan', 'yg', 'umum', 'turun', 'harga', 'bbm', 'puja', 'kompak', 'tepuk', 'tangan', 'akan', 'hasil', 'kerja']",sebentar muncul pahlawan yg umum turun harga bbm puja kompak tepuk tangan akan hasil kerja
21,"Walaupun harga bbm naik. Kalo kamu ngajak jalan, aku tetep gas ngeng. 🛵 https://t.co/rD3hFowz4O",0,walaupun harga bbm naik kalo kamu ngajak jalan aku tetep gas ngeng ,"['walaupun', 'harga', 'bbm', 'naik', 'kalo', 'kamu', 'ngajak', 'jalan', 'aku', 'tetep', 'gas', 'ngeng']","['harga', 'bbm', 'kalo', 'ngajak', 'jalan', 'tetep', 'gas', 'ngeng']","['harga', 'bbm', 'kalo', 'ngajak', 'jalan', 'tetep', 'gas', 'ngeng']",harga bbm kalo ngajak jalan tetep gas ngeng
22,"Benar, tidak ada alasan harga BBM naik. Penerimaan negara Jan-Jul 2022 naik Rp519 triliun dibandingkan Jan-Jul 2021, APBN surplus Rp106 triliun per akhir Juli 2022. Harga minyak mentah sedang turun, saat ini sekitar $78 per barel. Tidak benar APBN jebol.

https://t.co/CV3lqz2bAL",-1,benar tidak ada alasan harga bbm naik penerimaan negara jan jul  naik rp triliun dibandingkan jan jul  apbn surplus rp triliun per akhir juli  harga minyak mentah sedang turun saat ini sekitar  per barel tidak benar apbn jebol ,"['benar', 'tidak', 'ada', 'alasan', 'harga', 'bbm', 'naik', 'penerimaan', 'negara', 'jan', 'jul', 'naik', 'rp', 'triliun', 'dibandingkan', 'jan', 'jul', 'apbn', 'surplus', 'rp', 'triliun', 'per', 'akhir', 'juli', 'harga', 'minyak', 'mentah', 'sedang', 'turun', 'saat', 'ini', 'sekitar', 'per', 'barel', 'tidak', 'benar', 'apbn', 'jebol']","['alasan', 'harga', 'bbm', 'penerimaan', 'negara', 'jan', 'jul', 'rp', 'triliun', 'dibandingkan', 'jan', 'jul', 'apbn', 'surplus', 'rp', 'triliun', 'juli', 'harga', 'minyak', 'mentah', 'turun', 'barel', 'apbn', 'jebol']","['alas', 'harga', 'bbm', 'terima', 'negara', 'jan', 'jul', 'rp', 'triliun', 'banding', 'jan', 'jul', 'apbn', 'surplus', 'rp', 'triliun', 'juli', 'harga', 'minyak', 'mentah', 'turun', 'barel', 'apbn', 'jebol']",alas harga bbm terima negara jan jul rp triliun banding jan jul apbn surplus rp triliun juli harga minyak mentah turun barel apbn jebol
